shot_id,shot_distance,time_clock,shot_result,quarter
21400907663,2.35,12.1,True,1
21400907664,2.44,12.2,False,1
21400907665,7.53,0.0,True,1
21400907666,7.56,6.6,True,2
21400907667,7.92,19.1,False,2
21400907668,6.92,19.1,False,2
21400907669,7.62,13.6,True,2
21400907670,1.34,19.0,True,2
21400907671,3.05,11.1,False,3
21400907672,5.58,14.0,False,3
21400907673,3.41,3.0,False,3
21400907674,8.47,0.0,False,3
21400907675,4.11,10.1,False,4
21400907676,7.96,1.0,False,4
21400907677,1.46,6.9,False,4
21400907678,7.19,8.4,False,4
21400886685,8.2,19.6,False,2
21400880696,5.55,16.1,True,1
21400880697,8.23,16.9,False,1
21400880698,7.56,13.3,False,1
21400880699,7.04,16.7,True,1
21400880700,7.35,16.4,False,1
21400880701,3.87,18.5,True,2
21400880702,7.53,9.6,False,2
21400880703,0.61,16.8,True,2
21400880704,1.01,12.5,True,2
21400880705,5.27,18.0,False,2
21400880707,6.58,8.9,True,3
21400880708,7.22,4.8,False,3
21400880709,5.7,11.6,False,3
21400880711,2.56,14.4,True,3
21400880712,7.47,3.5,False,3
21400880713,6.71,18.7,True,3
21400880714,7.38,12.8,True,3
21400880715,7.35,16.0,False,3
21400880716,5.3,13.5,False,4
21400880717,2.35,1.2,False,4
21400907725,2.68,20.5,False,2
21400907726,0.91,15.0,True,2
21400907727,1.95,12.8,True,3
21400907728,2.56,18.4,True,3
21400907729,4.51,6.0,True,3
21400907730,3.84,8.4,False,3
21400907731,2.26,13.6,True,4
21400907732,2.44,8.2,False,4
21400907733,1.19,14.1,True,4
21400907734,0.82,4.5,True,4
21400886739,1.43,19.7,False,2
21400880743,4.42,13.1,False,2
21400880744,2.96,18.0,False,2
21400880745,4.69,0.0,True,3
21400880746,1.68,12.0,True,4
21400880747,3.81,9.4,False,4
21400907768,7.59,15.8,False,1
21400907769,7.35,5.8,True,3
21400907770,0.82,8.4,False,4
21400907771,0.73,7.7,True,4
21400886774,5.79,9.7,True,2
21400886775,2.04,17.1,False,2
21400880780,0.3,19.9,True,3
21400880782,0.91,10.4,True,4
21400880783,0.94,1.3,True,4
21400907784,7.68,1.6,False,1
21400907785,0.4,20.2,True,1
21400907786,0.79,0.0,True,1
21400907787,7.71,7.3,True,1
21400907788,7.59,1.4,True,1
21400907789,7.56,1.0,False,1
21400907790,7.5,8.0,True,2
21400907791,9.11,0.4,False,2
21400907792,7.68,12.9,False,2
21400907793,7.53,12.5,False,3
21400907794,1.01,19.4,True,3
21400907795,7.68,6.0,True,4
21400907796,1.19,20.8,True,4
21400907797,0.76,24.0,True,4
21400880803,7.53,9.6,False,1
21400880804,1.8,15.2,False,1
21400880805,1.68,18.4,False,1
21400880808,7.65,17.8,False,3
21400880809,7.47,2.7,True,4
21400880810,2.04,11.8,False,4
21400880811,7.62,16.4,True,4
21400880813,1.4,14.0,True,4
21400880814,1.62,5.3,False,4
21400880815,0.67,4.6,True,4
21400892816,1.19,18.0,True,1
21400892817,0.27,24.0,True,2
21400892818,6.25,9.6,True,2
21400892819,2.19,13.0,False,2
21400892820,6.1,14.8,False,2
21400892821,5.7,4.3,False,3
21400892822,0.67,14.0,True,3
21400892823,5.79,9.0,True,3
21400892824,1.71,4.1,True,3
21400892825,1.19,14.4,True,3
21400892826,4.97,14.0,False,3
21400892827,1.92,12.7,False,4
21400892828,0.7,13.8,True,4
21400892829,5.88,12.1,True,4
21400892830,1.95,14.3,False,1
21400892831,2.16,7.7,True,1
21400892832,1.49,12.5,False,1
21400892833,7.35,17.1,True,2
21400892834,4.6,13.4,False,2
21400892835,1.43,17.7,False,2
21400892836,1.19,6.2,True,2
21400892837,7.35,10.9,True,3
21400892838,6.25,13.0,True,3
21400892839,7.38,17.1,False,3
21400892840,6.74,0.0,False,3
21400892841,1.49,3.5,False,4
21400892842,5.39,17.3,True,4
21400892843,5.09,15.1,False,4
21400892844,5.15,12.0,True,1
21400892845,5.88,12.4,False,1
21400892846,1.28,8.2,False,1
21400892847,2.13,9.2,False,1
21400892848,1.95,6.8,False,2
21400892849,4.57,23.1,False,2
21400892850,0.52,14.9,False,2
21400892851,0.52,14.8,True,2
21400892852,7.59,14.7,False,3
21400892853,7.62,20.2,False,3
21400892854,1.28,19.0,True,3
21400892855,1.31,11.6,True,3
21400892856,1.86,17.0,True,4
21400892857,0.09,18.4,True,4
21400892858,6.46,11.0,False,4
21400892859,1.68,8.0,False,4
21400892860,1.58,13.7,True,1
21400892861,6.46,22.7,False,1
21400892862,6.34,8.1,True,2
21400892863,6.49,9.5,False,2
21400892864,8.26,16.7,False,2
