shot_id,shooter_id,defender_id,defender_distance
21400890572,23378.0,23155.0,1.07
21400890573,23378.0,23155.0,1.22
21400878574,23378.0,23186.0,1.71
21400878575,23378.0,23186.0,0.46
21400878576,23378.0,23186.0,0.4
21400878577,23378.0,23144.0,1.55
21400878578,23378.0,23186.0,0.88
21400907579,22902.0,23305.0,0.34
21400907580,22902.0,22968.0,5.64
21400907581,22902.0,22886.0,0.98
21400907583,22902.0,23305.0,0.64
21400907584,22902.0,23305.0,1.65
21400907585,22902.0,23252.0,2.23
21400886592,22902.0,23512.0,2.19
21400880593,22902.0,23457.0,2.93
21400880594,22902.0,22908.0,3.41
21400880596,22902.0,23457.0,2.65
21400880597,22902.0,23402.0,0.58
21400880598,22902.0,23402.0,1.04
21400880599,22902.0,22996.0,1.22
21400880600,22902.0,23402.0,1.95
21400880601,22902.0,22996.0,2.01
21400880602,22902.0,23402.0,3.14
21400880603,22902.0,23457.0,0.55
21400880604,22902.0,23402.0,1.86
21400880605,22902.0,22934.0,0.27
21400880606,22902.0,22996.0,1.25
21400880607,22899.0,22996.0,0.76
21400880608,22899.0,23161.0,0.58
21400907609,23000.0,22886.0,0.76
21400907610,23000.0,22968.0,0.91
21400907611,23000.0,23146.0,2.29
21400907612,23000.0,22968.0,1.95
21400907613,23000.0,23305.0,1.95
21400907615,23000.0,23252.0,0.73
21400907616,23000.0,22968.0,1.83
21400907617,23000.0,23252.0,1.65
21400907618,23000.0,22886.0,1.13
21400907619,23000.0,23047.0,1.83
21400907620,23000.0,23146.0,1.98
21400907621,23000.0,23252.0,0.55
21400907622,23000.0,22968.0,1.1
21400907623,23000.0,22910.0,0.09
21400907624,23000.0,22886.0,6.13
21400886634,23000.0,23512.0,0.82
21400886635,23000.0,23512.0,3.81
21400886637,23000.0,23512.0,1.92
21400880641,23000.0,22934.0,0.37
21400880642,23000.0,22934.0,1.58
21400880643,23000.0,22934.0,0.55
21400880644,23000.0,22934.0,1.16
21400880645,23000.0,22908.0,1.31
21400880647,23000.0,23457.0,1.55
21400880648,23000.0,23438.0,0.85
21400880649,23000.0,23438.0,0.12
21400880650,23000.0,23438.0,1.46
21400880651,23000.0,22996.0,1.25
21400880652,23000.0,22996.0,0.98
21400880653,23000.0,23457.0,1.92
21400880656,23000.0,22934.0,2.04
21400880657,23000.0,22908.0,2.35
21400880658,23000.0,23457.0,1.58
